,,, ,Wheel 1,,,,Wheel 2,,,
Run,Previous Best,Recorded Time,Evolutions,Size,Max Speed,Max Torque,Damping Ratio,Size,Max Speed,Max Torque,Damping Ratio
220,00:20.496,00:41.200,9,1,-29.53,80.18,8.65,0.83,-46.22,65.1,5.83
222,00:20.496,00:40.995,9,1,-29.53,61.17,8.65,0.83,-46.22,65.1,1.66
223,00:20.496,00:40.995,9,1,-29.53,92,8.65,0.83,-44.74,65.1,1.66
224,00:20.496,00:41.000,9,1,-135.3,92,8.65,0.63,-44.74,65.1,1.66
225,00:20.496,00:40.995,9,1,-135.3,74.82,8.65,0.63,-64.72,65.1,1.66
226,00:20.496,00:40.995,9,1,-135.3,49.46,8.65,0.63,-64.72,40.18,1.66
227,00:20.496,00:40.999,9,1,-135.3,49.46,8.65,0.63,-153.52,24.7,1.66
228,00:20.496,00:40.996,9,1,-86.76,49.46,8.65,0.57,-153.52,24.7,1.66
229,00:20.496,00:40.995,9,0.42,-86.76,49.46,8.65,0.04,-153.52,24.7,1.66
221,00:20.496,00:40.993,9,0.92,-113.28,8.39,7.68,0.33,-174.43,42.62,8.47
230,00:20.496,00:40.998,9,0.27,-86.76,49.46,8.65,0.04,-153.52,24.7,7.88
232,00:20.496,00:41.700,9,0.04,-86.76,49.46,8.65,0.04,-13.67,24.7,7.88
233,00:20.496,00:41.000,9,0.19,-86.76,49.46,8.65,0.84,-13.67,24.7,7.88
234,00:20.496,00:41.200,9,0.94,-86.76,49.46,8.65,0.84,-13.67,49.45,7.88
235,00:20.496,00:41.400,9,0.94,-86.76,49.46,8.65,0.84,-1.43,49.45,9.55
236,00:20.496,00:40.998,9,0.94,-63.71,51.19,8.65,0.84,-1.43,49.45,9.55
237,00:20.496,00:41.120,9,0.41,-63.71,51.19,8.65,0.21,-1.43,49.45,9.55
238,00:20.496,00:41.600,9,0.41,-63.71,51.19,8.65,0.51,-1.43,7.24,9.55
239,00:20.496,00:40.995,9,0.41,-63.71,51.19,8.65,0.51,-23.92,7.24,9.55
231,00:20.496,00:40.995,9,0.71,-113.28,8.39,7.68,0.33,-174.43,42.62,2.82
240,00:20.496,00:40.999,9,0.41,-31.55,98.43,8.65,0.51,-23.92,7.24,9.55
242,00:20.496,00:41.600,9,0.41,-31.55,98.43,8.65,0.51,-23.92,7.24,5.53
243,00:20.496,00:41.110,9,0.41,-7.28,98.43,8.65,0.3,-23.92,7.24,5.53
244,00:20.496,00:40.994,9,0.41,-7.28,98.43,2.27,0.73,-23.92,7.24,5.53
245,00:20.496,00:40.994,9,0.41,-100.82,98.43,2.27,0.73,-167.07,7.24,5.53
246,00:20.496,00:40.995,9,0.19,-100.82,98.43,2.27,0.7,-167.07,7.24,5.53
247,00:13.511,00:13.511,10,0.19,-84.78,98.43,2.27,0.7,-156.6,7.24,5.53
248,00:13.511,00:27.310,10,0.19,-84.78,74.12,2.27,0.58,-156.6,7.24,5.53
249,00:13.511,00:27.290,10,0.19,-132.76,64.04,2.27,0.58,-156.6,7.24,5.53
250,00:13.511,00:27.300,10,0.01,-132.76,64.04,2.27,0.58,-156.6,7.24,5.53
251,00:13.511,00:27.280,10,0.01,-132.76,86,2.27,0.58,-156.6,7.24,5.93
252,00:13.511,00:27.450,10,0.01,-132.76,86,2.27,0.85,-156.6,7.24,3.69
253,00:13.511,00:27.370,10,0.01,-132.76,42.87,2.27,0.85,-156.6,7.24,1.21
254,00:10.830,00:10.830,11,0.01,-132.76,42.87,2.28,0.85,-180.05,7.24,1.21
255,00:10.830,00:20.191,11,0.01,-132.76,42.87,5.61,0.85,-180.05,37.2,1.21
256,00:08.367,00:08.367,12,0.01,-132.76,15.89,5.61,0.85,-180.05,37.2,1.21
257,00:08.367,00:16.735,12,0.01,-102.86,15.89,5.61,0.85,-180.05,37.2,5.95
258,00:16.600,00:16.600,12,0.01,-102.86,14.2,5.61,0.85,-180.05,94.35,5.95
259,00:16.600,00:32.260,12,0.83,-102.86,14.2,5.61,0.85,-189.25,94.35,5.95
260,00:16.600,00:32.220,12,0.83,-102.86,63.13,5.61,0.85,-189.25,12.53,5.95
261,00:23.680,00:23.680,12,0.83,-102.86,63.13,5.61,0.85,-189.25,94.01,5.95
262,00:23.680,00:46.144,12,0.83,-102.86,63.13,5.61,0.85,-189.25,94.01,8.59
263,00:23.680,00:46.147,12,0.76,-102.86,63.13,5.61,0.85,-189.25,94.01,1.27
264,00:23.680,00:46.138,12,0.76,-102.86,63.13,4.54,0.85,-189.25,82.36,1.27
265,00:23.680,00:46.141,12,0.76,-102.86,63.13,4.54,0.85,-189.25,96.75,8.86
266,00:23.680,00:46.138,12,0.76,-102.86,81.48,3.89,0.85,-189.25,96.75,8.86
267,00:23.680,00:46.152,12,0.76,-102.86,81.48,3.89,0.85,-85.37,86.85,8.86
268,00:23.680,00:46.141,12,0.66,-102.86,81.48,6.96,0.85,-85.37,86.85,8.86
269,00:23.680,00:46.150,12,0.66,-102.86,81.48,1.75,0.85,-85.37,15.57,8.86
